Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0093780,2022-07-04,2022-07-04,,The Principal,https://www.imdb.com/title/tt0093780/,movie,6.3,109,1987,"Action, Crime, Drama, Thriller",10901,1987-09-18,Christopher Cain,10,2022-07-04
2,tt0107034,2022-07-04,2022-07-04,,The Good Son,https://www.imdb.com/title/tt0107034/,movie,6.4,87,1993,"Drama, Thriller",42525,1993-09-24,Joseph Ruben,10,2022-06-20
3,tt0111323,2022-07-04,2022-07-04,,Surviving the Game,https://www.imdb.com/title/tt0111323/,movie,6.2,96,1994,"Action, Adventure, Crime, Drama, Thriller",12239,1994-04-15,Ernest R. Dickerson,8,2022-06-14
4,tt0119715,2022-07-04,2022-07-04,,Mouse Hunt,https://www.imdb.com/title/tt0119715/,movie,6.5,98,1997,Comedy,57708,1997-12-19,Gore Verbinski,10,2022-06-05
5,tt0114576,2022-07-04,2022-07-04,,Sudden Death,https://www.imdb.com/title/tt0114576/,movie,5.8,111,1995,"Action, Crime, Thriller",35215,1995-10-26,Peter Hyams,9,2022-06-23
6,tt0106965,2022-07-13,2022-07-13,,Free Willy,https://www.imdb.com/title/tt0106965/,movie,6.0,112,1993,"Adventure, Drama, Family",78047,1993-07-16,Simon Wincer,9,2022-07-11
7,tt0113972,2022-07-25,2022-07-25,,Nick of Time,https://www.imdb.com/title/tt0113972/,movie,6.3,90,1995,"Action, Crime, Drama, Thriller",43421,1995-11-22,John Badham,8,2022-07-26
8,tt0104389,2022-09-26,2022-09-26,,The Hand That Rocks the Cradle,https://www.imdb.com/title/tt0104389/,movie,6.7,110,1992,"Drama, Thriller",45595,1992-01-10,Curtis Hanson,10,2022-09-26
9,tt0089679,2022-09-27,2022-09-27,,The New Kids,https://www.imdb.com/title/tt0089679/,movie,6.1,89,1985,"Crime, Drama, Horror, Thriller",3541,1985-01-18,Sean S. Cunningham,7,2023-01-01
10,tt0118771,2022-09-28,2022-09-28,,Breakdown,https://www.imdb.com/title/tt0118771/,movie,7.0,93,1997,"Crime, Drama, Mystery, Thriller",56373,1997-04-24,Jonathan Mostow,10,2021-03-28
11,tt0113732,2022-09-28,2022-09-28,,The Maddening,https://www.imdb.com/title/tt0113732/,movie,4.8,95,1995,Thriller,823,1995-06-16,Danny Huston,8,2022-09-28
12,tt0096003,2022-10-06,2022-10-06,,Rocket Gibraltar,https://www.imdb.com/title/tt0096003/,movie,6.6,99,1988,Drama,2047,1988-09-02,Daniel Petrie,9,2022-10-06
13,tt0116259,2022-10-10,2022-10-10,,Extreme Measures,https://www.imdb.com/title/tt0116259/,movie,6.2,118,1996,"Crime, Drama, Mystery, Thriller",19910,1996-09-27,Michael Apted,9,2022-10-10
14,tt0091637,2022-11-05,2022-11-05,,No Mercy,https://www.imdb.com/title/tt0091637/,movie,5.7,106,1986,"Crime, Drama, Romance, Thriller",7824,1986-12-19,Richard Pearce,8,2022-11-04
15,tt0116040,2022-11-09,2022-11-09,,Daylight,https://www.imdb.com/title/tt0116040/,movie,5.9,114,1996,"Action, Adventure, Drama, Thriller",73971,1996-12-05,Rob Cohen,10,2021-05-01
16,tt0110678,2022-11-14,2022-11-14,,No Escape,https://www.imdb.com/title/tt0110678/,movie,6.1,118,1994,"Action, Drama, Sci-Fi, Thriller",20982,1994-02-24,Martin Campbell,9,2021-11-04
17,tt0107057,2022-11-25,2022-11-25,,Guilty as Sin,https://www.imdb.com/title/tt0107057/,movie,5.6,107,1993,"Crime, Drama, Thriller",5565,1993-06-04,Sidney Lumet,9,2022-11-25
18,tt0105636,2022-11-28,2022-11-28,,Trespass,https://www.imdb.com/title/tt0105636/,movie,6.3,101,1992,"Action, Thriller",13180,1992-12-25,Walter Hill,8,2021-09-17
19,tt0211933,2022-11-28,2022-11-28,,Awake,https://www.imdb.com/title/tt0211933/,movie,6.5,84,2007,"Crime, Drama, Mystery, Thriller",76643,2007-11-14,Joby Harold,9,2022-02-25
20,tt0097074,2022-12-17,2022-12-17,,Cohen and Tate,https://www.imdb.com/title/tt0097074/,movie,6.3,86,1988,"Action, Adventure, Crime, Drama, Thriller",2487,1988-10-12,Eric Red,8,2022-12-17
21,tt1535970,2022-12-28,2022-12-28,,The Ledge,https://www.imdb.com/title/tt1535970/,movie,6.5,101,2011,"Drama, Romance, Thriller",19802,2011-01-21,Matthew Chapman,8,2022-12-28
22,tt0116095,2023-01-01,2023-01-01,,Diabolique,https://www.imdb.com/title/tt0116095/,movie,5.4,107,1996,"Drama, Horror, Mystery, Thriller",14703,1996-03-22,Jeremiah S. Chechik,8,2023-01-01
23,tt0098536,2023-01-01,2023-01-01,,Turner & Hooch,https://www.imdb.com/title/tt0098536/,movie,6.2,97,1989,"Comedy, Crime, Drama, Thriller",72419,1989-07-21,Roger Spottiswoode,9,2022-09-01
24,tt0104549,2023-01-08,2023-01-08,,Jennifer Eight,https://www.imdb.com/title/tt0104549/,movie,6.3,124,1992,"Crime, Drama, Mystery, Thriller",17399,1992-11-06,Bruce Robinson,9,2023-01-08
25,tt0119215,2023-01-08,2023-01-08,,Good Burger,https://www.imdb.com/title/tt0119215/,movie,5.7,95,1997,"Comedy, Family",29817,1997-07-21,Brian Robbins,9,2023-01-08
26,tt0119874,2023-01-11,2023-01-11,,The Peacemaker,https://www.imdb.com/title/tt0119874/,movie,6.0,124,1997,"Action, Thriller",59385,1997-09-23,Mimi Leder,8,2023-01-11
27,tt0111187,2023-01-14,2023-01-14,,Silent Fall,https://www.imdb.com/title/tt0111187/,movie,5.9,101,1994,"Drama, Mystery, Thriller",4547,1994-10-28,Bruce Beresford,7,2023-01-14
28,tt0109305,2023-01-17,2023-01-17,,Blue Chips,https://www.imdb.com/title/tt0109305/,movie,6.2,108,1994,"Drama, Sport",14189,1994-02-18,William Friedkin,9,2023-01-17
29,tt0117765,2023-01-19,2023-01-19,,Striptease,https://www.imdb.com/title/tt0117765/,movie,4.5,115,1996,"Comedy, Crime, Drama, Thriller",46275,1996-06-23,Andrew Bergman,8,2021-08-06
30,tt1098356,2023-01-20,2023-01-20,,Long Weekend,https://www.imdb.com/title/tt1098356/,movie,5.1,88,2008,"Drama, Horror, Thriller",6061,2008-10-09,Jamie Blanks,7,2023-01-20
